Dyad,AENP,GNP,MNP,WPP,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012
240,0.3824,,0.0102,0,0.5,0,,0,0,0,,0,0,0,,0.0261
241,0,,0.0102,0,0,0,,0,0.0425,0.0201,,0,0,0,,0
242,0,,0,0.2273,0.1837,0,,0,0.1353,0,,0,0.054,0,,0
243,0,,0.4972,0,0.1436,0,,0,0.1844,0.0043,,0.0771,0,0,,0
244,0,,0.0383,0,0.1308,0.0983,,0,0.1062,0.0774,,0.0093,0.3342,0.0509,,0
245,0,,0,0.0372,0.2009,0.0691,,0.0859,0,0.0977,,0.0943,0,0.1027,,0
246,0,,0.0841,0,0,0.0368,,0,0,0,,0.1,0,0,,0.5
247,0,,0,0,0.0468,0,,0.0416,0,0,,0,0,0,,0.0496
248,0,,0.193,0,0,0.0148,,0.0446,0.0365,0,,0.0511,0,0.0044,,0
249,0,,0.5,0.09,0,0,,0,0,0,,0,0,0.0132,,0
250,0,,0,0.2873,0.0325,0,,0.0435,0.0581,0,,0,0.3123,0.0378,,0
251,0,,0,0.0082,0.6441,0.0887,,0,0,0.039,,0,0,0.0562,,0.0278
252,0.1634,,0,0.0501,0.3691,0,,0,0.0433,0.0361,,0,0,0,,0
253,0.5,,0,0,0,0,,0.0782,0,0,,0.0913,0.1738,0.1759,,0.0172
254,0.0176,,0,0,0,0.0045,,0,0,0.0203,,0,0,0,,0.067
255,0.3023,,0,0.0656,0,0,,0.0867,0.5,0.0289,,0,0,0.0843,,0
256,0,,0,0.0828,0.3044,0.0109,,0,0.5,0,,0,0,0.4461,,0
257,0,,0.1066,0.0192,0.3542,0,,0,0.2501,0.0487,,0,0,0.0397,,0
258,0.1599,,0,0,0.1268,0,,0.016,0.0212,0,,0.0098,0,0,,0
259,0,,0,0,0,0,,0,0.069,0.1293,,0.6504,0.025,0.0068,,0
260,0,,0.2384,0,0,0,,0.0356,0.5,0.0636,,0.0921,0.04,0,,0.0366
261,0.3038,,0,0.0412,0,0.0351,,0,0,0.0877,,0,0,0,,0.0593
262,0,,0,0.143,0,0.0696,,0,0,0,,0.0248,0.085,0,,0.2036
263,0,,0.2708,0.0456,0,0.0574,,0,0,0,,0,0.3506,0.0744,,0
264,0.0917,,0,0.0569,0,0,,0,0,0,,0,0,0,,0.1647
265,0,,0,0,0.5092,0.0216,,0.0347,0,0,,0,0.0631,0,,0.2141
266,0.0282,,0,0,0,0.0544,,0.0177,0,0,,0,0,0,,0
267,0.5,,0,0.0006,0,0,,0,0,0.1338,,0.0595,0.5,0.4076,,0
268,0.0956,,0,0.4868,0,0,,0.5,0,0,,0,0.4698,0.0378,,0.0692
269,0,,0.0599,0,0.1154,0.0045,,0.4327,0,0.0935,,0,0,0,,0
270,0.7488,,0.0214,0,0,0.0556,,0.3781,0.2087,0.0262,,0.0698,0,0,,0
271,0.1127,,0.0895,0,0,0.0214,,0.0143,0,0,,0.0443,0.1044,0,,0.0458
272,0.4889,,0,0,0.2997,0,,0.0829,0.0498,0,,0,0.0704,0,,0
