Individual,AENP,GNP,MNP,WPP,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012
234,,,,,,0.1504,,0.0437,,,,,,,,
235,,,,,,0.0004,,0.4053,,,,,,,,
236,,,,,,0.2857,,0.3738,,,,,,,,
237,,,,,,0.0376,,0.0039,,,,,,,,
238,,,,,,0.0017,,0.2426,,,,,,,,
239,,,,,,0.0007,,0.0053,,,,,,,,
240,,,,,,0.3093,,0.0082,,,,,,,,
241,,,,,,0.0878,,0.0082,,,,,,,,
242,,,,,,0.0017,,0.002,,,,,,,,
243,,,,,,0.0181,,0.0036,,,,,,,,
244,,,,,,0.4436,,0.0762,,,,,,,,
245,,,,,,0.004,,0.1588,,,,,,,,
246,,,,,,0.0003,,0.0001,,,,,,,,
247,,,,,,0.0003,,0.1576,,,,,,,,
248,,,,,,0.0212,,0.0219,,,,,,,,
249,,,,,,0.0882,,0.0455,,,,,,,,
250,,,,,,0.0131,,0.3207,,,,,,,,
251,,,,,,0.1053,,0.1475,,,,,,,,
252,,,,,,0,,0.107,,,,,,,,
253,,,,,,0.049,,0.0236,,,,,,,,
254,,,,,,0,,0.085,,,,,,,,
255,,,,,,0.1692,,0.0387,,,,,,,,
256,,,,,,0.0038,,0.001,,,,,,,,
257,,,,,,0,,0.0034,,,,,,,,
258,,,,,,0.0595,,0,,,,,,,,
259,,,,,,0.0182,,0,,,,,,,,
260,,,,,,0.0444,,0,,,,,,,,
261,,,,,,0.0323,,0.0891,,,,,,,,
262,,,,,,0.0283,,0.391,,,,,,,,
263,,,,,,0.1772,,,,,,,,,,
264,,,,,,0.0014,,,,,,,,,,
265,,,,,,0.0688,,,,,,,,,,
266,,,,,,0.1683,,,,,,,,,,
267,,,,,,0.0008,,,,,,,,,,
268,,,,,,0.0004,,,,,,,,,,
269,,,,,,0.0132,,,,,,,,,,
270,,,,,,0.0006,,,,,,,,,,
271,,,,,,0.0087,,,,,,,,,,
272,,,,,,0.0016,,,,,,,,,,
273,,,,,,0.0945,,,,,,,,,,
274,,,,,,0.0608,,,,,,,,,,
275,,,,,,0.0056,,,,,,,,,,
276,,,,,,0.2789,,,,,,,,,,
277,,,,,,0.0051,,,,,,,,,,
278,,,,,,0.0229,,,,,,,,,,
279,,,,,,0.022,,,,,,,,,,
280,,,,,,0.1167,,,,,,,,,,
281,,,,,,0.0263,,,,,,,,,,
282,,,,,,0.0602,,,,,,,,,,
283,,,,,,0.1655,,,,,,,,,,
284,,,,,,0.0343,,,,,,,,,,
285,,,,,,0.0296,,,,,,,,,,
286,,,,,,0.0005,,,,,,,,,,
287,,,,,,0.032,,,,,,,,,,
288,,,,,,0.0004,,,,,,,,,,
289,,,,,,0.0142,,,,,,,,,,
290,,,,,,0.1078,,,,,,,,,,
291,,,,,,0.0817,,,,,,,,,,
292,,,,,,0.0004,,,,,,,,,,
293,,,,,,0.0684,,,,,,,,,,
294,,,,,,0.0886,,,,,,,,,,
295,,,,,,0.0021,,,,,,,,,,
296,,,,,,0.1383,,,,,,,,,,
297,,,,,,0.0287,,,,,,,,,,
298,,,,,,0.1049,,,,,,,,,,
299,,,,,,0.157,,,,,,,,,,
300,,,,,,0.1417,,,,,,,,,,
301,,,,,,0.0013,,,,,,,,,,
302,,,,,,0.1047,,,,,,,,,,
303,,,,,,0.0004,,,,,,,,,,
304,,,,,,0.0005,,,,,,,,,,
305,,,,,,0.2309,,,,,,,,,,
306,,,,,,0.3594,,,,,,,,,,
307,,,,,,0.4237,,,,,,,,,,
308,,,,,,0.0051,,,,,,,,,,
